Product_Name, Pricing, Ratings 
Samsung Galaxy F22 (Denim Blue| 128 GB),Rs.13999,4.3
Samsung Galaxy F22 (Denim Blue| 128 GB),Rs.13999,4.3
Samsung Galaxy M32 (Light Blue| 128 GB),Rs.14900,4.3
Samsung Galaxy F22 (Denim Blue| 64 GB),Rs.11999,4.3
Samsung Galaxy F23 5G (Copper Blush| 128 GB),Rs.16999,4.1
Samsung Galaxy F22 (Denim Black| 64 GB),Rs.11999,4.3
Samsung Galaxy F23 5G (Aqua Blue| 128 GB),Rs.16999,4.1
Samsung Galaxy M33 5G (Blue| 128 GB),Rs.16890,4
Samsung Galaxy M12 (Blue| 64 GB),Rs.10285,4.2
Samsung Galaxy F23 5G (Blue| 128 GB),Rs.15999,4.1
Samsung Galaxy F23 5G (Forest Green| 128 GB),Rs.16999,4.1
Samsung Galaxy M12 (Black| 64 GB),Rs.10490,4.2
Samsung Guru Music 2,Rs.1995,4.2
Samsung Galaxy F12 (Black| 64 GB),Rs.11499,4.3
Samsung Guru Music 2 SM-B315E,Rs.1995,4.2
Samsung Galaxy F12 (Sea Green| 64 GB),Rs.11499,4.3
Samsung GT-E1215,Rs.1497,4.3
Samsung Guru Music 2,Rs.1997 ,4.3
Samsung Guru GT,Rs.1497,4.1
Samsung GT-E1215ZWAINS,Rs.1494,4.3
Samsung Galaxy F12 (Sky Blue| 64 GB),Rs.11499,4.3
Samsung Guru Music 2,Rs.2099,4.3
Samsung Galaxy M32 (Black| 64 GB),Rs.12490,4.2
Samsung Galaxy F23 5G (Forest Green| 128 GB),Rs.15999,4.1
